config_seed,scenario,epsilon,sample_size,population_n,sampling,feature_set,linear_method,neural_method,n_paired_trials,mean_linear_overall_l1,mean_neural_overall_l1,mean_delta_overall_l1,win_rate_delta_overall_l1,ci95_low_delta_overall_l1,ci95_high_delta_overall_l1,mean_linear_worst_group_l1_major,mean_neural_worst_group_l1_major,mean_delta_worst_group_l1,win_rate_delta_worst_group_l1,ci95_low_delta_worst_group_l1,ci95_high_delta_worst_group_l1
123,nonlinear_interaction,0.5,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5125935422383453,0.49758322605308364,-0.015010316185261585,0.55,-0.06832155124030362,0.03473042282418511,0.8199151050582092,0.8993575750549023,0.07944246999669327,0.5,-0.01257977779882994,0.1795175444006178
123,nonlinear_interaction,1.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5059165911205155,0.3156203355305156,-0.19029625558999977,0.95,-0.2357645239363358,-0.13328989589354528,0.80885527562478,0.7249596275211343,-0.08389564810364572,0.7,-0.1775445982936428,0.00743079445760717
123,nonlinear_interaction,2.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.4405553686138293,0.18632303542545078,-0.25423233318837857,1.0,-0.2871269848671392,-0.22524272984746518,0.7468214678448142,0.5199956603920516,-0.22682580745276262,0.95,-0.2863024197299242,-0.15822383057648476
123,sparse_minority_curve,0.5,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5068273887199429,0.4637340026568831,-0.0430933860630597,0.6,-0.10374562898692292,0.012351429517692707,0.6387436238220521,0.7344206015697597,0.09567697774770756,0.4,0.019313174011296574,0.17776112608440728
123,sparse_minority_curve,1.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.49916605185848467,0.23297913672082618,-0.2661869151376586,1.0,-0.31555559529689137,-0.21288699297855865,0.631669472832459,0.48322471139909373,-0.14844476143336513,0.9,-0.2001833014404213,-0.08918223446569883
123,sparse_minority_curve,2.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.4420816287524755,0.15045826554753,-0.2916233632049456,1.0,-0.31639749686457075,-0.26830696184881203,0.5731273262340324,0.38621637193838027,-0.18691095429565224,0.95,-0.22605194349054047,-0.14167702615865674
123,privacy_noise_sparse,0.5,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.3049092193412559,0.4518155501966798,0.14690633085542384,0.25,0.06703806907517766,0.23437244739135438,0.5200770508356247,0.8160802451479835,0.2960031943123586,0.15,0.1948831138112463,0.40643491836907214
123,privacy_noise_sparse,1.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.2981365107766292,0.2652862083553313,-0.03285030242129786,0.75,-0.07184774839249491,0.0034815001248193205,0.5127108813342304,0.48418096626494006,-0.028529915069290323,0.7,-0.06684122379452398,0.012046927668737608
123,privacy_noise_sparse,2.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.26374763162031745,0.16427173454510086,-0.0994758970752166,0.9,-0.12539262379485436,-0.07128458220944807,0.47552248090988314,0.3904738008457561,-0.08504868006412698,0.8,-0.12457411409064785,-0.0402341197324338
123,simple_linear,0.5,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5911266658292746,0.5370482968676243,-0.05407836896165015,0.6,-0.1274843267986709,0.025284169642169892,0.7361240954548455,0.8984054642752806,0.16228136882043512,0.4,0.03741990778946091,0.3004629557460853
123,simple_linear,1.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5800830578440603,0.32474903826752577,-0.25533401957653457,0.95,-0.3065076717925682,-0.2004837619465706,0.7255711187352404,0.618610062640032,-0.10696105609520834,0.75,-0.15875602949528103,-0.05672258769863131
123,simple_linear,2.0,500,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5136038623367642,0.18823482422152124,-0.3253690381152429,1.0,-0.3658130952646902,-0.28552189703705977,0.6622130478460625,0.45903330413909976,-0.20317974370696273,1.0,-0.23196598845045502,-0.17264831938010985
123,nonlinear_interaction,0.5,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5144933862153067,0.4148510659468151,-0.09964232026849154,0.9,-0.14287982010120986,-0.058795758394429944,0.8184937227895844,0.7410800402658257,-0.07741368252375866,0.75,-0.12098010319192751,-0.03537524593347899
123,nonlinear_interaction,1.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5033939324702417,0.22661152259852613,-0.27678240987171543,0.95,-0.31604703315141014,-0.23144376343849174,0.8069544643878549,0.5423125423207104,-0.26464192206714454,1.0,-0.3066191317593795,-0.21321436650509418
123,nonlinear_interaction,2.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.44121638963049936,0.10531277903121987,-0.3359036105992795,1.0,-0.35444964519670896,-0.317043376472709,0.7433261353093097,0.36336375415996425,-0.37996238114934544,1.0,-0.40417870904146513,-0.35488810097530954
123,sparse_minority_curve,0.5,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5087617023543641,0.40009366462329055,-0.10866803773107367,0.75,-0.16081586651697782,-0.05771374175150289,0.6408459445223239,0.5951851241740422,-0.04566082034828172,0.75,-0.09702357466695388,0.002593590275324151
123,sparse_minority_curve,1.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.49443638225142267,0.22610245480129915,-0.2683339274501236,1.0,-0.30913324268129666,-0.22782005673185432,0.6260164674845397,0.46655430838059664,-0.15946215910394296,0.95,-0.20904845349125303,-0.10027281131172501
123,sparse_minority_curve,2.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.44095509846783865,0.13657929689915765,-0.3043758015686809,1.0,-0.32999715305804356,-0.27636266983667307,0.5739940453432213,0.37030084453042633,-0.20369320081279502,0.95,-0.23645042308773048,-0.16500193209064498
123,privacy_noise_sparse,0.5,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.3046871322384645,0.3305354390230753,0.025848306784610774,0.35,-0.007391992786642955,0.055732884003129306,0.5201383261292667,0.578022115477723,0.05788378934845606,0.4,0.0004107174871613361,0.12961002968011393
123,privacy_noise_sparse,1.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.2994186795779108,0.2602324636979453,-0.039186215879965444,0.75,-0.06944426804392251,-0.00792437665922056,0.514334820898426,0.4821136663627937,-0.03222115453563252,0.65,-0.07762799601548202,0.017399741352663825
123,privacy_noise_sparse,2.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.26650132630923795,0.13168449183788228,-0.13481683447135567,0.95,-0.16237380583542613,-0.10456861723973221,0.4785565881477486,0.36267548762191787,-0.11588110052583071,0.85,-0.1502050197088232,-0.07620181775142641
123,simple_linear,0.5,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5941943930693405,0.42680049914063234,-0.1673938939287081,1.0,-0.21095798452893147,-0.12379678589204694,0.7389866439792201,0.7444837222883174,0.005497078309097342,0.6,-0.062115036174147785,0.08102358698513769
123,simple_linear,1.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5770634161228335,0.2251549491671788,-0.3519084669556546,1.0,-0.3808030940345601,-0.31961482286487486,0.7220240223369145,0.5326589831218235,-0.18936503921509112,0.95,-0.25023102611435893,-0.1241455852551355
123,simple_linear,2.0,1000,10000,srs,"region,age_group,education,gender,urbanicity",mrp_rr_poststrat,neural_rr_mrp,20,0.5090408223814527,0.13181889390104576,-0.37722192848040675,1.0,-0.41339588902786445,-0.33657113842894676,0.6584001459121873,0.3924737536530048,-0.26592639225918246,1.0,-0.30888821561042007,-0.22555418159127863
